entry_id,title,artist,album,playlist_name,playlist_description,audio_key,duration
7erG3V4rVnKugDba7Xh2VW,Frozen Sky,Phaeleh,Illusion of the Tale,New Light,"This selection creates a sophisticated, bittersweet journey through modern classical and melodic electronica, perfectly curated for deep focus or late-night introspection.",catalog.app/Frozen Sky.flac,6:23
56cyxO5XVcCWSKXgsCZNZE,Orbits,Phaeleh,Illusion of the Tale,Being Nothing,"This selection leans into deep meditation ambient, healing soundscapes, and tranquil minimal atmospheres, music designed to slow the mind, create stillness, and support introspection.",catalog.app/Orbits.flac,3:05
12UqmdjA6I2jyXj30QzfQn,La comedienne,Örsten,Amer amour,Erotic Nature,"Contemporary ambient, experimental electronic, and psychedelic rock merge in this compilation, forming a soundscape that stimulates the senses.",catalog.app/La comedienne.flac,3:05
NTC7mTPUigZdHCYOmZVLL,Fleur Blanche,Örsten,Cutworks,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Fleur Blanche.flac,4:04
4QffSUaAKflpT3TRGVTJAM,Nature Boy,Molly Lewis,Mirage,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Nature Boy.mp3,2:50
5WSnHe8id1Hrow99wQU5d7,Miracle Fruit,Molly Lewis,Mirage,Soft Mornings,"This playlist is a velvety blend of dreamy jazz, ambient textures, and nostalgic soul, creating a moonlit sanctuary for deep connection.",catalog.app/Miracle Fruit.flac,4:03
6lLzdggtGJkTZQp5IHe9wB,Balcony for Two,Molly Lewis,The Forgotten Edge,Melting,"A provocative, sun-bleached odyssey, where psych-cumbia, shamanic folktronica, and dusty spaghetti-western noir collide.",catalog.app/Balcony for Two.flac,2:59
3oWEKyuNXCvklLlNMhwCaY,Oceanic Feeling,Molly Lewis,The Forgotten Edge,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Oceanic Feeling.flac,2:23
5KWgK8yEGXkoEou5R2zLfR,Satin Curtains,Molly Lewis,The Forgotten Edge,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Satin Curtains.flac,2:38
34lI1OICaTnLwcayqtR36P,Flight,Anoushka Shankar,Traces Of You,Renaissance,"This curation ignites transformation, urging us to envision ourselves beyond the present and embrace a higher, more evolved self.",catalog.app/Flight.flac,3:37
22YjLaxT2v6v3m8LdPeNaY,Land of Gold - Instrumental,Anoushka Shankar,Land Of Gold,Zumurud,"This playlist is a sophisticated blend of Silk Road tradition and modern lounge, weaving together ancient Middle Eastern instruments with deep, rhythmic electronic pulses.",catalog.app/Land of Gold - Instrumental.flac,4:19
785CgTlxftGDzGjBiAlevg,Mellowing,All Them Witches,Dying Surfer Meets His Maker,Slow burn,"This collection creates an intimate, sacred space where dusty desert folk meets the deep pulse of a shared heartbeat.",catalog.app/Mellowing.flac,3:10
3EnheiqaPJYi7T12UWjBio,Everest,All Them Witches,Nothing as the Ideal,Slow burn,"This collection creates an intimate, sacred space where dusty desert folk meets the deep pulse of a shared heartbeat.",catalog.app/Everest.flac,2:07
7nAnIKJRIuToA7DHP8qzIa,Mycelium,Golden Brown,Gems and Minerals,Ambient Odyssey,"A soundscape of timeless and contemporary ambient and new-age music, designed to calm the mind and lift the spirit.",catalog.app/Mycelium.mp3,1:40
40nuKmEHvrjI7zC7mZz1gK,The Lyre Tree,Golden Brown,Gems and Minerals,Morning Glory,"This relaxed, uplifting compilation weaves soulful sounds into a vibrant tapestry, creating a peaceful yet energizing atmosphere.",catalog.app/The Lyre Tree.mp3,2:06
7hjZUI12A2xXVKHiw9SOku,Mammoth Star,Golden Brown,Luminous,House of the Setting Sun,"This compilation is a delicious blend of organic psychedelia and sophisticated groove, weaving laid-back skate-rock aesthetics with deep, shamanic electronic textures.",catalog.app/Mammoth Star.flac,3:02
26NJMZT55Fq4y3Gh0TZUdv,Dusty,Golden Brown,Wide Ranging Rider,House of the Setting Sun,"This compilation is a delicious blend of organic psychedelia and sophisticated groove, weaving laid-back skate-rock aesthetics with deep, shamanic electronic textures.",catalog.app/Dusty.flac,3:13
5lpGuVBnH9TKYmynA3OHex,Sleeping Lotus,Joep Beving,Solipsism,Inhale,"This selection leans into deep, meditative ambient with mystical and minimal electronic textures, occasionally touching psychedelic and ritualistic atmospheres.",catalog.app/Sleeping Lotus.flac,2:31
1Eq3uzZkjRZlcsPtDtDEYA,The Light She Brings,Joep Beving,Solipsism,Soft Mornings,"This playlist is a velvety blend of dreamy jazz, ambient textures, and nostalgic soul, creating a moonlit sanctuary for deep connection.",catalog.app/The Light She Brings.flac,2:53
6SaBtzV5Pbn6RjtZvEcQXQ,A Heartfelt Silence 2,Joep Beving,Prehension,Grounding,"This selection sits in a deep ambient / modern classical crossover, with minimal piano, slow-moving drones, and contemplative electronics.",catalog.app/A Heartfelt Silence 2.flac,2:34
2FStM2XFy87TfEa1tMzkAL,Ab Ovo,Joep Beving,Prehension,Oceanic Feeling,"A gentle drift through dreamy downtempo, ambient jazz, and warm instrumental electronica, melodic, airy, and quietly uplifting.",catalog.app/Ab Ovo.flac,4:48
2a1JJUq19rqy95oHa8vLrQ,An Amalgamation Waltz 1839,Joep Beving,Prehension,Soft Mornings,"This playlist is a velvety blend of dreamy jazz, ambient textures, and nostalgic soul, creating a moonlit sanctuary for deep connection.",catalog.app/An Amalgamation Waltz 1839.flac,4:06
5xOLFjw3Y9f7zdXeqoM4m0,Calibrate - Piano Solo,Kyson,atr/cal (Piano Solo),Celestial Romance,"In a vast universe of infinite possibilities, finding a heart that aligns with ours feels miraculous, a cosmic soundscape evoking the boundless expanse of space and time.",catalog.app/Calibrate - Piano Solo.flac,2:31
2gn5LKYfr3sZigDurD2rny,After the Rain - Piano Solo,Kyson,atr/cal (Piano Solo),Genesis,"Creation is the profound act of bringing life into being, giving birth to ideas, turning dreams into reality. Music serves as both spark and guide on this journey of expression.",catalog.app/After the Rain - Piano Solo.flac,2:59
7A1XDB2fRtdw6HPr6XMYg4,No Such Thing As Me,Kyson,The Water's Way,Serendipity,"This spacious, melodic ambient selection is ideal as background music for serene moments and gentle, mindful activities.",catalog.app/No Such Thing As Me.flac,4:18
26iy6Md2C9ZsTA14EPIbPL,Every High,Kyson,Every High,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Every High.flac,3:33
5CvwX1ANh92idK4uAyO8PR,Smokey Room,Grails,Black Tar Prophecies Vols. 1 2 & 3,Eclectic Zen,"Each note takes us closer to the eternal, each harmony a bridge to the unseen. In music's embrace, we transcend the ordinary, touching the infinite with every beat.",catalog.app/Smokey Room.flac,3:09
5M9Z0A9wjJ5CpzujqnhDEL,Future Primitive,Grails,Deep Politics,Samanke,"This playlist is a sun-drenched blend of global soul and cinematic chill, shifting from earthy tribal rhythms to lush, orchestral-electronic horizons.
",catalog.app/Future Primitive.flac,5:24
4gP94Gr0t7LdqB4GiMIGRB,Dance of Ganesha,Ajeet,Darshan,Timeless,"A refined blend of ambient jazz and modern classical minimalism, layered with atmospheric textures, spacious, elegant, and quietly emotional.",catalog.app/Dance of Ganesha.flac,6:54
4D1jyDAbP8zDaug8uKi1WH,Shadow Moon,Ajeet,Lunar,Being Nothing,"This selection leans into deep meditation ambient, healing soundscapes, and tranquil minimal atmospheres, music designed to slow the mind, create stillness, and support introspection.",catalog.app/Shadow Moon.flac,12:09
rX0zcAjxNbIDVO4snlRsv,Albion,Skinshape,Nostalgia,Slow burn,"This collection creates an intimate, sacred space where dusty desert folk meets the deep pulse of a shared heartbeat.",catalog.app/Albion.flac,5:46
6HB2065FiLbKg6351DJZtN,Watching from the Shadows,Skinshape,Arrogance is the Death of Men,Samanke,"This playlist is a sun-drenched blend of global soul and cinematic chill, shifting from earthy tribal rhythms to lush, orchestral-electronic horizons.
",catalog.app/Watching from the Shadows.flac,3:06
1QgtptvBFfC6vn4P6e80f4,#1,Aphex Twin,Selected Ambient Works Volume II,Cosmic Focus,"Let sound guide your attention to what matters most. A compilation designed to enhance focus, clarity, and concentration.",catalog.app/#1.flac,7:27
2Zxo2hmDQFdPMxGcbauDwQ,#3,Aphex Twin,Selected Ambient Works Volume II,Intergalactic Flow,"Intergalactic Flow invites you to trust the universe’s rhythm, letting perceptions align with the highest good. Surrendering to life’s flow, we embrace each moment with faith, knowing it guides our evolution.",catalog.app/#3.mp3,7:44
325vXLdFmajNgeTsll6p00,Nanou2,Aphex Twin,Drukqs,Genesis,"Creation is the profound act of bringing life into being, giving birth to ideas, turning dreams into reality. Music serves as both spark and guide on this journey of expression.",catalog.app/Nanou2.flac,3:25
1eHrjxExxYacVBkknJM3Eq,aisatsana [102],Aphex Twin,Syro,Into Stillness,"This selection leans toward introspective, cinematic ambient / experimental folk / minimal guitar atmospheres, music that feels spacious, contemplative, and slightly mystical.",catalog.app/aisatsana [102].flac,5:21
3lvRtC0uy816bV8yVdaNW3,Sweet Savasana,Dub Sutra,The Rise of Downtempo,Deep Echoes,"This blend of ancient sounds and soulful melodies is ideal for meditation, yoga, tantra, or any practice seeking tranquility. ",catalog.app/Sweet Savasana.flac,1:50
6r27qQc0Fx1l7TViLFLXc0,Eastern Slide,Dub Sutra,The Rise of Downtempo,Zumurud,"This playlist is a sophisticated blend of Silk Road tradition and modern lounge, weaving together ancient Middle Eastern instruments with deep, rhythmic electronic pulses.",catalog.app/Eastern Slide.flac,6:59
4P4kUg1ASHEOdfReoJ3PPy,All Is Love Is All,Dub Sutra,All Is Love Is All,Into Stillness,"This selection leans toward introspective, cinematic ambient / experimental folk / minimal guitar atmospheres, music that feels spacious, contemplative, and slightly mystical.",catalog.app/All Is Love Is All.flac,2:08
24apwuY8QXwrpjq6CD8T9c,Savasana Dreams,Dub Sutra,All Is Love Is All,,,catalog.app/Savasana Dreams.flac,2:39
2ugQb2HYBkFEkjwSoXxNpc,Deep Violet of Gold,Shida Shahabi,Living Circle,Instrumental Muse,"A serene selection of classical masterpieces, weaving soft, feminine melodies that draw you inward and gently elevate the moment.",catalog.app/Deep Violet of Gold.mp3,9:41
4kVhJdkVDE5msNq6BKW5xe,Living Circle,Shida Shahabi,Living Circle,Instrumental Muse,"A serene selection of classical masterpieces, weaving soft, feminine melodies that draw you inward and gently elevate the moment.",catalog.app/Living Circle.mp3,9:16
7kXMI8fjZwf2Mcx0InYNY1,Futō,Shida Shahabi,Futō,Grounding,"This selection sits in a deep ambient / modern classical crossover, with minimal piano, slow-moving drones, and contemplative electronics.",catalog.app/Futō.flac,6:48
RVI01Z5GEHqzFqLGscmzR,All In Circles,Shida Shahabi,Shifts,Erotic Nature,"Contemporary ambient, experimental electronic, and psychedelic rock merge in this compilation, forming a soundscape that stimulates the senses.",catalog.app/All In Circles.flac,3:56
32rhilG67U8NUGvqaAjubR,Pretty In Plums,Shida Shahabi,Homes,Soft Mornings,"This playlist is a velvety blend of dreamy jazz, ambient textures, and nostalgic soul, creating a moonlit sanctuary for deep connection.",catalog.app/Pretty In Plums.flac,4:40
7t7QoXmpp4LmzA33YPQWlZ,Sade - Pearls (Timo Jahns Remix),Sade,Pearls,Lush,"A lush mix of cinematic electronic and ambient sounds, offering a restorative, stimulating, and sensuous experience.",catalog.app/Sade - Pearls (Timo Jahns Remix).mp3,0:00
7FstgIU1TLfbRWIaWveDzy,Cherish the Day - Remastered,Sade,The Ultimate Collection,,,catalog.app/Cherish the Day - Remastered.flac,6:18
2FDWUotraW9EJUVMismZ1e,Pearls,Sade,Love Deluxe,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Pearls.flac,4:33
77M9eEcjlECNIS8kpD5TbJ,Is It a Crime,Sade,The Best of Sade,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Is It a Crime.flac,6:21
4dizeO1m8xdmVBnWYGVom1,Night and Day,Everything But The Girl,Night and Day,Slow burn,"This collection creates an intimate, sacred space where dusty desert folk meets the deep pulse of a shared heartbeat.",catalog.app/Night and Day.flac,2:55
6PmdxfOrOwJQlhhI4CXV1u,Single,Everything But The Girl,Walking Wounded (Deluxe Edition),Slow burn,"This collection creates an intimate, sacred space where dusty desert folk meets the deep pulse of a shared heartbeat.",catalog.app/Single.flac,4:38
52mRis6ES3QmI29DCWNWbc,River Somewhere - Pt. 1,Remy Van Kesteren,Shadows,Tantric Flow,"A ritualistic blend of meditation, chants, and rare instruments from around the world, creating a sound that transcends genres.",catalog.app/River Somewhere - Pt. 1.flac,2:44
nMCYHkL7CE5B3Ae0Yb39Z,amber,Remy Van Kesteren,An alternative soundtrack to the motion picture...,Inhale,"This selection leans into deep, meditative ambient with mystical and minimal electronic textures, occasionally touching psychedelic and ritualistic atmospheres.",catalog.app/amber.flac,4:40
2Ol2YvS0wp2SfrBPDc8rRj,Jimmy V,Mary Lattimore,At the Dam,Restorative Sound,"Timeless instruments, ambient soundscapes, natural tones, and theta-inducing elements flow seamlessly together.",catalog.app/Jimmy V.flac,5:57
4YwU95O8MK0BIfZTKG4LOM,The Quiet at Night,Mary Lattimore,At the Dam,Into Stillness,"This selection leans toward introspective, cinematic ambient / experimental folk / minimal guitar atmospheres, music that feels spacious, contemplative, and slightly mystical.",catalog.app/The Quiet at Night.flac,4:12
2weU6cuNrUI0qQME9oIfBe,"Ferris Wheel, January",Mary Lattimore,At the Dam,Soft Mornings,"This playlist is a velvety blend of dreamy jazz, ambient textures, and nostalgic soul, creating a moonlit sanctuary for deep connection.","catalog.app/Ferris Wheel, January.flac",13:17
1Jd2cP2VaXw8rsVNHHNrSJ,Sometimes He's In My Dreams,Mary Lattimore,Silver Ladders,House of the Setting Sun,"This compilation is a delicious blend of organic psychedelia and sophisticated groove, weaving laid-back skate-rock aesthetics with deep, shamanic electronic textures.",catalog.app/Sometimes He's In My Dreams.flac,3:46
6NV6QCc6kqEXqAcGril0k1,Rose,Moderator,Rose,Slow Splendor,"This delicate compilation blends atmospheric jazz and ethereal electronica, drifting gracefully between the everyday and the sublime.",catalog.app/Rose.flac,2:11
5rhTqxrMVdi7G9LwgCvC3b,Cat's Eyes (Private Little World),Moderator,Sinner's Syndrome,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Cat's Eyes (Private Little World).flac,1:55
2KDgADEUnhE6gh2J5kZ05P,Agit - Live at Sonar,islandman,Agit Remixes Vol. II,Sunrays,"Never forget that you are a living miracle of chance, brimming with echoes of the impossible.",catalog.app/Agit - Live at Sonar.mp3,6:36
7GMY2DUGnufVQRTz1h693b,Sattava,islandman,Bahar,Sunrays,"Never forget that you are a living miracle of chance, brimming with echoes of the impossible.",catalog.app/Sattava.flac,4:45
yVLi4MUsxsjJn308Q9FTN,Agit,islandman,Rest in Space,On the beach,"A salt-crusted, provocative escape, fusing vintage yacht-rock, Afro-Libyan disco, and kitsch-cool exotica. It drifts from the languid, golden-hour grit of Neil Young to the sultry, carnal pulse of modern Poolside.
",catalog.app/Agit.flac,4:39
7CefQkvOy2LcPcyu5kgyuY,Fractal Panorama,The Re-Stoned,Stories of the Astral Lizard,Soft Mornings,"This playlist is a velvety blend of dreamy jazz, ambient textures, and nostalgic soul, creating a moonlit sanctuary for deep connection.",catalog.app/Fractal Panorama.flac,11:16
70w8Jmj65oT0Zp1cN6THWP,Spheres,The Re-Stoned,Stories of the Astral Lizard vol. 2,Samanke,"This playlist is a sun-drenched blend of global soul and cinematic chill, shifting from earthy tribal rhythms to lush, orchestral-electronic horizons.
",catalog.app/Spheres.flac,6:39
1QmTbh0vWRZ8taw14cY6YV,Crystals,The Re-Stoned,Analog,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Crystals.flac,9:20
cXso80bYBUvN7fylZRA0r,Garland,Slow Dancing Society,Garland,Slow Splendor,"This delicate compilation blends atmospheric jazz and ethereal electronica, drifting gracefully between the everyday and the sublime.",catalog.app/Garland.mp3,3:58
1VamfgOQFB4O0NDrKTEDtW,The Warm Familiar Smell of September,Slow Dancing Society,The Sound of Lights When Dim,Insight,"This selection blends ambient, dream-pop, cinematic electronica, and desert-tinged guitar, music that feels immersive, atmospheric, and emotionally reflective, with a slow, hypnotic flow.",catalog.app/The Warm Familiar Smell of September.flac,4:08
jba2amPpPGSOgKacI3Lcw,Tantric Flow,Calm Whale,Tantric Flow,Tantric Flow,"A ritualistic blend of meditation, chants, and rare instruments from around the world, creating a sound that transcends genres.",catalog.app/Tantric Flow.flac,9:59
7KGH1QNYKqXLDONhrjA2w3,Balancing with Love,Calm Whale,Balancing with Love,Altered States,"This curated compilation blends shamanic themes with energetic elements, designed to heighten and expand altered states for both therapeutic and recreational sessions.",catalog.app/Balancing with Love.flac,9:59
3ZAnKJZQSwz3FHThIyBVmo,Calm Flow,Calm Whale,Calm Flow,Deep Echoes,"This blend of ancient sounds and soulful melodies is ideal for meditation, yoga, tantra, or any practice seeking tranquility. ",catalog.app/Calm Flow.flac,10:52
1gDB8tHZF9onOLGXCIL6i2,Uku Wha Le,Calm Whale,Space of the Heart,Unwind,"This cinematic and expansive blend fuses saxophone, experimental piano, and orchestral strings to evoke inspiration and the splendor of nature.",catalog.app/Uku Wha Le.flac,4:00
ScpdzCKmwAkiHX7Je6wig,Tranquility Dimension,Calm Whale,Tranquility Dimension,Into Stillness,"This selection leans toward introspective, cinematic ambient / experimental folk / minimal guitar atmospheres, music that feels spacious, contemplative, and slightly mystical.",catalog.app/Tranquility Dimension.flac,9:44
1EuE42oQwPJvY1mGMjQid7,Gaia Healing,Calm Whale,Gaia Healing,Grounding,"This selection sits in a deep ambient / modern classical crossover, with minimal piano, slow-moving drones, and contemplative electronics.",catalog.app/Gaia Healing.flac,13:17
7anOMWTPiqhsA9O4Cty8wZ,A Lake,Headland,Lost Track: New Zealand Soundtrack,House of the Setting Sun,"This compilation is a delicious blend of organic psychedelia and sophisticated groove, weaving laid-back skate-rock aesthetics with deep, shamanic electronic textures.",catalog.app/A Lake.flac,2:52
ORKXcs3l1aemZ2sixhsm3,White Sands,Headland,Reflection,House of the Setting Sun,"This compilation is a delicious blend of organic psychedelia and sophisticated groove, weaving laid-back skate-rock aesthetics with deep, shamanic electronic textures.",catalog.app/White Sands.flac,4:03
7825d5AYFI60k4D1KPPyFy,One More,Bobby Lee,Lagniappe Session,Samanke,"This playlist is a sun-drenched blend of global soul and cinematic chill, shifting from earthy tribal rhythms to lush, orchestral-electronic horizons.
",catalog.app/One More.flac,4:04
TZow0gfZlwzqRyfqzCGNj,Enchanted Mesa,Bobby Lee,Origin Myths,House of the Setting Sun,"This compilation is a delicious blend of organic psychedelia and sophisticated groove, weaving laid-back skate-rock aesthetics with deep, shamanic electronic textures.",catalog.app/Enchanted Mesa.flac,3:57
1MCbsTNOV6NZGdWJWrvokJ,Ancient Invocations,All India Radio,Diamonds in the Dark,Cosmic Smooth,"This eclectic collection of shimmering soundscapes blends psychedelia, ambient textures, and dreamy tones to inspire flow and ease.",catalog.app/Ancient Invocations.flac,3:27
7Aw9eBS8EWzAATBM6B95FJ,Anja's Eternal Light - Early Version 1,All India Radio,Space The Demos,Deep Chill,This compilation of psychill and emotive melodies opens a realm where the boundaries of familiarity dissolve into uncharted sonic landscapes. ,catalog.app/Anja's Eternal Light - Early Version 1.flac,1:28
7twpQtRh7mc8bGAy0HPEje,Lo Fi Groovy,All India Radio,Permanent Evolutions,Samanke,"This playlist is a sun-drenched blend of global soul and cinematic chill, shifting from earthy tribal rhythms to lush, orchestral-electronic horizons.
",catalog.app/Lo Fi Groovy.flac,3:12
43HILU9o3HipyjZ80za6aY,Sunburst,All India Radio,The Slow Light,Inhale,"This selection leans into deep, meditative ambient with mystical and minimal electronic textures, occasionally touching psychedelic and ritualistic atmospheres.",catalog.app/Sunburst.flac,4:46
7bWKrKQ1Fzuun3Ymt71h1r,The Slow Light,All India Radio,The Slow Light,Erotic Nature,"Contemporary ambient, experimental electronic, and psychedelic rock merge in this compilation, forming a soundscape that stimulates the senses.",catalog.app/The Slow Light.flac,4:11
4S7UbRoxT7CD7vweTwSivv,Twelve,All India Radio,The Slow Light,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.",catalog.app/Twelve.flac,3:49
6bvBoTgqYif9fZzWXkbDZ2,Transmission 1,All India Radio,The Generator of All Infinity,Serendipity,"This spacious, melodic ambient selection is ideal as background music for serene moments and gentle, mindful activities.",catalog.app/Transmission 1.flac,1:14
5oqXkux7wypZsFJn0ZoOPd,Moviestar,All India Radio,Moviestar EP,New Light,"This selection creates a sophisticated, bittersweet journey through modern classical and melodic electronica, perfectly curated for deep focus or late-night introspection.",catalog.app/Moviestar.flac,2:51
