themes,primary_genre,secondary_genres,style_tags,mood_keywords,search_keywords,energy_level,summary,track_id,combined_tags
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Psychedelic Ambient', 'Downtempo']","['Textural', 'Atmospheric', 'Layered', 'Dreamy', 'Hypnotic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Ambient', 'Psychedelic', 'Dreamy', 'Soundscapes', 'Meditation']",0.3,"'Jang Mo' by Gavin Froome is a captivating ambient track that weaves together shimmering soundscapes and dreamy tones, creating an immersive experience perfect for meditation and reflective moments.",3HgCscDSiFHB8YnJUZWKrk,ambient psychedelic ambient downtempo textural atmospheric layered dreamy hypnotic meditative serene contemplative expansive dreamlike ambient psychedelic dreamy soundscapes meditation
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': True, 'confidence': 0.7}}",Ambient,"['Dark Ambient', 'Experimental']","['Textural', 'Atmospheric', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Contemplative', 'Serene', 'Dreamlike', 'Melancholic', 'Emotive', 'Introspective', 'Expansive']","['Dark Ambient', 'Experimental Music', 'Meditative Soundscapes', 'Emotive Ambient', 'Sonic Journey']",0.2,"'King' by David Terranova is a deep sonic exploration that weaves together dark ambient tones and emotive classical elements, creating a reflective and melancholic atmosphere perfect for introspection and meditation.",7iAKUkHS9GOYZNBEghmud5,ambient dark ambient experimental textural atmospheric layered hypnotic organic meditative contemplative serene dreamlike melancholic emotive introspective expansive dark ambient experimental music meditative soundscapes emotive ambient sonic journey
"{'flow': {'assigned': True, 'confidence': 0.9}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': False, 'confidence': 0.2}}",Ambient,"['Downtempo', 'Experimental']","['Hypnotic', 'Textural', 'Atmospheric', 'Layered', 'Organic']","['Meditative', 'Serene', 'Contemplative', 'Focused', 'Expansive']","['focus', 'concentration', 'ambient', 'meditative', 'clarity']",0.3,"'Knowledge' by Gian Marco Castro is a serene ambient track designed to enhance focus and clarity, guiding listeners into a meditative state that fosters concentration and introspection.",76tVkURRGxMLx9E9iveZ6o,ambient downtempo experimental hypnotic textural atmospheric layered organic meditative serene contemplative focused expansive focus concentration ambient meditative clarity
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': True, 'confidence': 0.6}}",Ambient,"['Drone', 'Meditative']","['Atmospheric', 'Textural', 'Organic', 'Layered', 'Field Recordings']","['Meditative', 'Serene', 'Contemplative', 'Dreamlike', 'Expansive']","['Nature Sounds', 'Ambient Music', 'Meditation', 'Dreamy Soundscapes', 'Eastern Influences']",0.2,"'Komadori' by Fabio Caramuru is a meditative track that weaves together nature sounds and ambient, dreamy soundscapes, enriched with subtle Eastern influences, creating a serene and contemplative listening experience.",2y2Byvo5vqSRa1BikMnjN4,ambient drone meditative atmospheric textural organic layered field recordings meditative serene contemplative dreamlike expansive nature sounds ambient music meditation dreamy soundscapes eastern influences
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': False, 'confidence': 0.2}, 'expanded_state': {'assigned': True, 'confidence': 0.7}}",Electronic,"['Downtempo', 'Psychedelic']","['Hypnotic', 'Atmospheric', 'Layered', 'Textural', 'Repetitive']","['Expansive', 'Dreamlike', 'Liberating', 'Contemplative', 'Serene', 'Euphoric', 'Transcendent', 'Reflective']","['Electronic', 'Ambient', 'Chill', 'Psychedelic', 'Downtempo', 'Meditative', 'Awareness', 'Freedom']",0.5,"Lac by Zimmer is an immersive electronic track that invites listeners into a realm of expansive awareness, blending hypnotic rhythms with atmospheric textures to create a soundscape that resonates with themes of liberation and introspection.",57N3mvHIytttrBlOUqHohm,electronic downtempo psychedelic hypnotic atmospheric layered textural repetitive expansive dreamlike liberating contemplative serene euphoric transcendent reflective electronic ambient chill psychedelic downtempo meditative awareness freedom
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': False, 'confidence': 0.2}, 'expanded_state': {'assigned': True, 'confidence': 0.7}}",Electronic,"['Downtempo', 'Ambient']","['Hypnotic', 'Atmospheric', 'Layered', 'Textural', 'Repetitive']","['Expansive', 'Dreamlike', 'Serene', 'Contemplative', 'Meditative']","['Electronic', 'Ambient', 'Downtempo', 'Chill', 'Hypnotic']",0.4,"'Landing' by Zimmer is an expansive electronic track that creates a serene atmosphere, inviting listeners to explore new dimensions of awareness and engage in a contemplative journey.",2CcA7D0K3bafe3EM0JaRwX,electronic downtempo ambient hypnotic atmospheric layered textural repetitive expansive dreamlike serene contemplative meditative electronic ambient downtempo chill hypnotic
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Downtempo', 'Chillout']","['Atmospheric', 'Textural', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Ambient', 'Chillout', 'Meditation', 'Relaxation', 'Nature', 'Mindfulness', 'Flow', 'Zimmer']",0.3,"'Wildflowers' by Zimmer is an ambient track that invites listeners to surrender to the universe's rhythm, creating a serene and contemplative atmosphere perfect for meditation and relaxation.",YC9ItkrFv4p5yCJp1Gx3t,ambient downtempo chillout atmospheric textural layered hypnotic organic meditative serene contemplative expansive dreamlike ambient chillout meditation relaxation nature mindfulness flow zimmer
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': True, 'confidence': 0.6}}",Ambient,"['Downtempo', 'Experimental']","['Atmospheric', 'Textural', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['ambient', 'meditative', 'experimental', 'downtempo', 'serene']",0.3,"A soothing and atmospheric track that invites listeners to reflect on the beauty of existence, evoking a sense of wonder and tranquility.",4Ix7IJjkkc4VcGCOz6u69l,ambient downtempo experimental atmospheric textural layered hypnotic organic meditative serene contemplative expansive dreamlike ambient meditative experimental downtempo serene
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Neoclassical', 'Downtempo']","['Atmospheric', 'Textural', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Contemplative', 'Serene', 'Expansive', 'Dreamlike']","['Ambient', 'Meditation', 'Relaxation', 'Mindfulness', 'Deep Listening']",0.3,"Leaving Wallbook is an immersive ambient piece that invites listeners to embrace their deepest truths, creating a serene and contemplative atmosphere perfect for meditation and reflection.",4ThmYOPYQSJeK57onMeVTO,ambient neoclassical downtempo atmospheric textural layered hypnotic organic meditative contemplative serene expansive dreamlike ambient meditation relaxation mindfulness deep listening
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': False, 'confidence': 0.2}}",Ambient,"['Downtempo', 'Experimental']","['Hypnotic', 'Textural', 'Atmospheric', 'Layered', 'Organic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Focus', 'Concentration', 'Ambient', 'Meditation', 'Soundscape']",0.3,"Lemuria is an immersive ambient track that invites listeners into a serene soundscape, designed to enhance focus and clarity. With its hypnotic textures and layered organic sounds, it creates a meditative atmosphere perfect for deep concentration or reflective practices.",1tPhGIOe5jDkgj93dumBFI,ambient downtempo experimental hypnotic textural atmospheric layered organic meditative serene contemplative expansive dreamlike focus concentration ambient meditation soundscape
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.6}, 'expanded_state': {'assigned': False, 'confidence': 0.2}}",Electronic,"['Downtempo', 'Minimal']","['Hypnotic', 'Textural', 'Layered', 'Atmospheric', 'Repetitive']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Focused']","['BICEP', 'Lido', 'Isles', 'Cosmic Focus', 'Electronic Music']",0.4,"Lido by BICEP is an immersive electronic track that blends hypnotic rhythms and layered textures, creating a serene atmosphere ideal for enhancing focus and clarity.",5G725ogXZzTMf77wZdLnzA,electronic downtempo minimal hypnotic textural layered atmospheric repetitive meditative serene contemplative expansive focused bicep lido isles cosmic focus electronic music
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Experimental', 'Downtempo']","['Textural', 'Atmospheric', 'Layered', 'Organic', 'Hypnotic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Soundscape', 'Nature', 'Relaxation', 'Meditation', 'Ambient Music']",0.3,"A serene soundscape that invites listeners to gracefully dance with reality, embracing the natural rhythms and pulses of life through gentle surrender.",1D2p6hNEvn7sq1w5CrPig2,ambient experimental downtempo textural atmospheric layered organic hypnotic meditative serene contemplative expansive dreamlike soundscape nature relaxation meditation ambient music
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.6}, 'expanded_state': {'assigned': False, 'confidence': 0.2}}",Ambient,"['Downtempo', 'Neoclassical']","['Hypnotic', 'Atmospheric', 'Textural', 'Layered', 'Organic']","['Meditative', 'Contemplative', 'Serene', 'Expansive', 'Dreamlike']","['Christian Löffler', 'Moldau', 'Ambient', 'Focus', 'Meditation']",0.3,"Moldau by Christian Löffler is a serene and atmospheric track that guides listeners into a meditative state, enhancing focus and clarity through its hypnotic soundscapes and layered textures.",1mWc5BGAP0bQttiE18SRxu,ambient downtempo neoclassical hypnotic atmospheric textural layered organic meditative contemplative serene expansive dreamlike christian löffler moldau ambient focus meditation
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': True, 'confidence': 0.6}, 'expanded_state': {'assigned': False, 'confidence': 0.2}}",Electronic,"['Downtempo', 'Ambient']","['Hypnotic', 'Textural', 'Atmospheric', 'Layered', 'Repetitive']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Focused']","['Gold Panda', 'New Days', 'The Work', 'Cosmic Focus', 'Electronic Music']",0.4,"'New Days' by Gold Panda is an immersive electronic track that blends hypnotic rhythms and atmospheric textures, designed to enhance focus and clarity, making it ideal for deep concentration and reflective moments.",3Z58IO2wvM6I5nKJeZoby5,electronic downtempo ambient hypnotic textural atmospheric layered repetitive meditative serene contemplative expansive focused gold panda new days the work cosmic focus electronic music
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Neoclassical,"['Contemporary Classical', 'Solo Piano']","['Minimal', 'Atmospheric', 'Textural', 'Melodic', 'Introspective']","['Transformative', 'Reflective', 'Serene', 'Contemplative', 'Evolving']","['Solo Piano', 'Neoclassical', 'August Rosenbaum', 'Meditative', 'Transformational']",0.3,"'Nomad - Solo Piano' by August Rosenbaum is a reflective and serene composition that invites listeners into a transformative space, encouraging introspection and a vision of a higher self.",RxpPV8k3mld4vOoRlLU0n,neoclassical contemporary classical solo piano minimal atmospheric textural melodic introspective transformative reflective serene contemplative evolving solo piano neoclassical august rosenbaum meditative transformational
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Downtempo', 'Experimental']","['Atmospheric', 'Textural', 'Layered', 'Organic', 'Hypnotic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Ambient', 'Soundscape', 'Nature', 'Meditation', 'Relaxation']",0.3,"Overworld is a serene ambient soundscape that invites listeners to gracefully dance with reality, embracing the natural rhythms of life through gentle surrender and reflection.",WNWmgo91cENHj8P7WgEkZ,ambient downtempo experimental atmospheric textural layered organic hypnotic meditative serene contemplative expansive dreamlike ambient soundscape nature meditation relaxation
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': True, 'confidence': 0.7}}",Ambient,"['Drone', 'Psychedelic Ambient']","['Atmospheric', 'Textural', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Ambient', 'Soundscape', 'Meditation', 'Relaxation', 'Nature', 'Psychedelic', 'Breathwork', 'Mindfulness']",0.2,"A serene soundscape that invites listeners to gracefully dance with reality, embracing the natural rhythms of life through gentle surrender and deep reflection.",6jvZfXUFvw0aghc2pUkgDV,ambient drone psychedelic ambient atmospheric textural layered hypnotic organic meditative serene contemplative expansive dreamlike ambient soundscape meditation relaxation nature psychedelic breathwork mindfulness
"{'flow': {'assigned': True, 'confidence': 0.85}, 'ritual': {'assigned': True, 'confidence': 0.7}, 'expanded_state': {'assigned': False, 'confidence': 0.2}}",Ambient,"['Downtempo', 'Minimal']","['Hypnotic', 'Textural', 'Atmospheric', 'Layered', 'Repetitive']","['Meditative', 'Serene', 'Contemplative', 'Focused', 'Clarity']","['Focus', 'Concentration', 'Ambient', 'Meditation', 'Soundscape']",0.3,"'Patterns' by Cedric Vermue is an ambient track designed to guide listeners into a state of deep focus and clarity. Its hypnotic textures and layered soundscapes create a serene atmosphere, perfect for meditation or concentrated work.",4U7NFm0EuirzI8KYFPRgHB,ambient downtempo minimal hypnotic textural atmospheric layered repetitive meditative serene contemplative focused clarity focus concentration ambient meditation soundscape
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': True, 'confidence': 0.6}}",Neoclassical,"['Ambient', 'Experimental']","['Atmospheric', 'Textural', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Contemplative', 'Serene', 'Expansive', 'Dreamlike']","['Pauvre Simon', 'Sylvain Chauveau', 'Nuage', 'Neoclassical', 'Ambient']",0.3,"Pauvre Simon is a meditative and atmospheric piece that invites listeners to embrace their deepest truths, creating a serene and contemplative space for reflection and introspection.",4pXct70PqvSVId45eJ2YNo,neoclassical ambient experimental atmospheric textural layered hypnotic organic meditative contemplative serene expansive dreamlike pauvre simon sylvain chauveau nuage neoclassical ambient
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Experimental', 'Downtempo']","['Atmospheric', 'Textural', 'Layered', 'Organic', 'Hypnotic']","['Meditative', 'Contemplative', 'Serene', 'Expansive', 'Dreamlike']","['Ambient', 'Meditation', 'Mindfulness', 'Relaxation', 'Deep Listening']",0.3,"A serene and contemplative piece that invites listeners to embrace their deepest truths, facilitating a meditative state and grounding presence.",6NPk0GbFea0OxHVLOlM7ks,ambient experimental downtempo atmospheric textural layered organic hypnotic meditative contemplative serene expansive dreamlike ambient meditation mindfulness relaxation deep listening
"{'flow': {'assigned': True, 'confidence': 0.7}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': False, 'confidence': 0.3}}",Ambient,"['Minimal', 'Drone']","['Textural', 'Atmospheric', 'Layered', 'Organic', 'Hypnotic']","['Meditative', 'Serene', 'Contemplative', 'Expansive', 'Dreamlike']","['Soundscape', 'Nature', 'Meditation', 'Relaxation', 'Ambient Music']",0.2,"Pointillism is a serene ambient soundscape that invites listeners to gracefully dance with reality, embracing the gentle rhythms of life and nature.",4rITGUXeyadFcKDlh1Yila,ambient minimal drone textural atmospheric layered organic hypnotic meditative serene contemplative expansive dreamlike soundscape nature meditation relaxation ambient music
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': False, 'confidence': 0.3}, 'expanded_state': {'assigned': True, 'confidence': 0.9}}",Electronic,"['Psychedelic Ambient', 'Experimental']","['Hypnotic', 'Atmospheric', 'Layered', 'Textural', 'Dreamlike']","['Transformative', 'Expansive', 'Ethereal', 'Visionary', 'Contemplative', 'Serene', 'Mystical', 'Introspective']","['Psychedelic', 'Ambient', 'Transformational', 'Meditative', 'Electronic']",0.4,"Psychedelic Dessert by Lemurian is an immersive electronic track that invites listeners on a transformative journey, blending hypnotic rhythms and atmospheric textures to create a dreamlike soundscape.",4dN8vanfitcdc32rBoCXK1,electronic psychedelic ambient experimental hypnotic atmospheric layered textural dreamlike transformative expansive ethereal visionary contemplative serene mystical introspective psychedelic ambient transformational meditative electronic
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': True, 'confidence': 0.6}}",Ambient,"['Neoclassical', 'Drone']","['Atmospheric', 'Textural', 'Layered', 'Hypnotic', 'Organic']","['Meditative', 'Contemplative', 'Serene', 'Expansive', 'Dreamlike']","['Ambient', 'Meditation', 'Relaxation', 'Soundscape', 'Mindfulness']",0.2,"Requiem 48 is a deeply atmospheric ambient track that invites listeners into a meditative space, encouraging introspection and connection with one's inner truths.",2prnrFZzqBfOBxTpLTXUSM,ambient neoclassical drone atmospheric textural layered hypnotic organic meditative contemplative serene expansive dreamlike ambient meditation relaxation soundscape mindfulness
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': False, 'confidence': 0.2}, 'expanded_state': {'assigned': True, 'confidence': 0.7}}",Electronic,"['Techno', 'Psychedelic']","['Hypnotic', 'Layered', 'Textural', 'Driving', 'Repetitive']","['Expansive', 'Liberating', 'Energetic', 'Dynamic', 'Awakening']","['Electronic', 'Techno', 'Psychedelic', 'Dance', 'Awareness']",0.7,"Retoactivium - Oscar Mulero Remix is an energetic electronic track that invites listeners to explore new dimensions of awareness, perfectly soundtracking a vibrant dance to freedom.",iSfkLGTvrt7m5QCTtoiJB,electronic techno psychedelic hypnotic layered textural driving repetitive expansive liberating energetic dynamic awakening electronic techno psychedelic dance awareness
"{'flow': {'assigned': False, 'confidence': 0.2}, 'ritual': {'assigned': True, 'confidence': 0.8}, 'expanded_state': {'assigned': True, 'confidence': 0.6}}",Ambient,"['Drone', 'Neoclassical']","['Atmospheric', 'Textural', 'Layered', 'Organic', 'Hypnotic']","['Meditative', 'Serene', 'Contemplative', 'Dreamlike', 'Expansive']","['Ambient', 'Meditation', 'Nature Sounds', 'Dreamy', 'Ethereal']",0.2,"Rosamund Chime is a meditative track that weaves together nature sounds with ambient and dreamy soundscapes, enriched by subtle Eastern influences, creating a serene and contemplative atmosphere.",aktqFqtsGQK06AQIT7nPl,ambient drone neoclassical atmospheric textural layered organic hypnotic meditative serene contemplative dreamlike expansive ambient meditation nature sounds dreamy ethereal
"{'flow': {'assigned': True, 'confidence': 0.8}, 'ritual': {'assigned': False, 'confidence': 0.2}, 'expanded_state': {'assigned': True, 'confidence': 0.7}}",Electronic,"['Psychedelic', 'Experimental']","['Hypnotic', 'Textural', 'Layered', 'Atmospheric', 'Repetitive']","['Expansive', 'Dreamlike', 'Liberating', 'Euphoric', 'Transcendent', 'Reflective']","['Electronic', 'Psychedelic', 'Ambient', 'Experimental', 'Dance', 'Awareness', 'Freedom', 'Soundtrack']",0.6,"S.A.L - Original Mix by Artificial is an immersive electronic track that invites listeners to explore new dimensions of awareness, blending hypnotic rhythms and expansive soundscapes to create a liberating auditory experience.",2vO6L6ormqFxYcgdV8LgsK,electronic psychedelic experimental hypnotic textural layered atmospheric repetitive expansive dreamlike liberating euphoric transcendent reflective electronic psychedelic ambient experimental dance awareness freedom soundtrack
