playlist_id,playlist_title,description,tags
1MthxYtW454Ag81LgrxODo,Altered States,"This curated compilation blends shamanic themes with energetic elements, designed to heighten and expand altered states for both therapeutic and recreational sessions.","{""Spiritual Ambient"",""Contemplative""}"
3zW0E9z4IHYGXT0pcehPmI,Cosmic Flow,"A sonic journey at the intersection of meditation, shamanism, and experimental psychedelia, where deep, mystical, and energetic sounds converge. ","{""Psychedelic"",""Downtempo"",""Groovy""}"
5zXQHFckXQ0VPzcXxsVTlW,Existential Nostalgia,"Take a sonic journey through dark ambient tones, emotive classical music, minimalist electronics, and experimental soundscapes. This compilation evokes life's paths and deep emotions in a melancholic blend of styles.","{""Melancholic"",""Contemplative"",""Experimental""}"
o8RM2h75gZRftk9GQ0K03,Real Nature Void,"A selection by bnjmngrdn engineered for inner work, altered states, and the space between worlds. Drift into dream logic, where time softens and reality loses its edges. These recordings support non-ordinary states of consciousness and expanded sensory awareness.","{""Psychedelic"",""Exploratory"",""Inner Journey""}"
6xvLqZFQgmMPJJldnCsdpH,Rite of Passage,"This exquisite compilation, designed to open the heart and promote healing, follows the musical arc of the hero's journey. Perfect for plant medicine experiences, it blends synthesizers and acoustic instruments with a rich variety of atmospheric sounds.","{""Psychedelic"",""Spiritual"",""Meditative""}"
7irBtBGJaI0dA4dmsPhKpU,Unseen Worlds,This compilation draws inspiration from spiritual musical traditions worldwide and the transformative healing power of the drum.,"{""Psychedelic"",""Spiritual"",""Cosmic""}"
158a0vx02WNwi0rAy7b6TK,Silent Dream,"This journey blends shamanic rhythms, mystical vibes, and primal sounds to create a deep, meditative atmosphere for relaxation and inner exploration.","{""Dreamy"",""Serene"",""Liminal""}"
7edwULhE1qbP6Q8VHMn9Zg,Chill Dance,"This selection sits in a psychedelic downtempo / psybient space, blending organic electronic textures, tribal rhythms, and hypnotic basslines.","{""Psychedelic"",""Hypnotic"",""Mystical""}"
41ItPDQ0xPPukRQNb9Z5D7,Kosmic Encounters,"A cinematic electronic odyssey, blending shifting tempos and timbres to soundtrack your galactic cruise. Float through this spacial landscape, perfect for a ""non-ordinary"" journey across the stars.","{""Psychedelic"",""Ambient"",""Experimental""}"
4glop5qq2utL7gVKsUPFj4,Binaural Waves,"Experience immersive binaural beats that deepen meditation, improve sleep, boost focus, and spark creativity, guiding you into deep relaxation and inspiration.","{""Binaural"",""Meditative""}"
65jnHUYFdoM0gauU5HKwsV,Cosmic Chaos,"A sun-drenched blend of desert guitar and spacious ambient textures. This languid, contemplative selection brings divine order to everyday chaos. ","{""Mellow Groove"",""Expansive""}"
62V7FBym11U5TVAkLLKwTP,Cosmic Compass,"This selection sits in a spiritual / cosmic ambient space, blending new age synthesis, early electronic minimalism, sacred jazz, and mystical soundscapes.","{""Contemplative"",""Expansive"",""Experimental""}"
2eYaf5bjzCz9EOnLpq2FO1,Deep Distance,"Tune in and drift between worlds, where thoughts and intentions shape reality like a lucid dream, full of possibility.","{""Electronic"",""Psybient"",""Cosmic""}"
6wTpt4lOrwLvn6YeuQNPjZ,Nature Music,"A calming blend of nature sounds and gentle melodies, infused with soft instrumental layers. Perfect for relaxing, reflecting, or simply escaping into peaceful stillness.","{""Organic"",""Immersive"",""Ambient""}"
5UoJXn6HKARoMeyr2BbExT,Unwind,"This cinematic and expansive blend fuses saxophone, experimental piano, and orchestral strings to evoke inspiration and the splendor of nature.","{""Contemplative"",""Smooth""}"
42ihSJUliMlOtHv6KV5pkl,Fleeting Moments,"The world around us is a mirror reflecting our inner state. The power to change the world we see lies within us, in how we choose to perceive and engage with the life unfolding before us. ","{""Happy"",""Organic"",""Expansive""}"
3uaPzKjFaNrq3I2DcHXWTB,Electric Flow,Dive into a curated selection of deep tones and powerful sounds. This sophisticated techno compilation energizes with serene beats that push boundaries and open new dimensions.,"{""Electronic"",""Expansive""}"
5rMYHJ4HLqBd9KEdbDER5U,Sunrays,"Never forget that you are a living miracle of chance, brimming with echoes of the impossible.","{""Smooth"",""Morning""}"
6E7ZqtUwrZkrwCDmfYDyyH,Serendipity,"This spacious, melodic ambient selection is ideal as background music for serene moments and gentle, mindful activities.","{""Creative"",""Expansive""}"
2ptL57P3qrRZhRQbetPAPq,Deep Echoes,"This blend of ancient sounds and soulful melodies is ideal for meditation, yoga, tantra, or any practice seeking tranquility. ","{""Middle Eastern"",""Mindfulness"",""Devotional""}"
6H9hWO8l4fG5j7uVtl4nnQ,Hero's Journey,"An immersive fusion of sonic textures, leading you from deep darkness to radiant light through the vast realms in between, a hypnotic, magical space journey.","{""Cosmic"",""Exploratory"",""Psychedelic""}"
1dksJxI30OFNEGY3X028hn,Cosmic Focus,"Let sound guide your attention to what matters most. A compilation designed to enhance focus, clarity, and concentration.","{""Focus"",""Immersive"",""Ambient""}"
1aiyXvIrmFROkRSAh6e6kj,Instrumental Muse,"A serene selection of classical masterpieces, weaving soft, feminine melodies that draw you inward and gently elevate the moment.","{""Instrumental"",""Relaxation""}"
4tayVIsVK1vxxYyeMRn1NI,Genesis,"Creation is the profound act of bringing life into being, giving birth to ideas, turning dreams into reality. Music serves as both spark and guide on this journey of expression.","{""Spiritual Ambient"",""Contemplative""}"
4ixPUrcO6PGSaNDJeb24Wu,Deep Chill,This compilation of psychill and emotive melodies opens a realm where the boundaries of familiarity dissolve into uncharted sonic landscapes. ,"{""Psychill"",""Ambient Electronica""}"
3mUNHQrTTLIHOIoHT4tLk7,Morning Alchemy,"Begin your day with a smooth and expansive serenade featuring a blend of ambient, blues, gospel, and experimental sounds. ","{""Smooth"",""Expansive"",""Ambient""}"
7zDWKxJYBClMFjUYYmDAg4,Grounding,"This selection sits in a deep ambient / modern classical crossover, with minimal piano, slow-moving drones, and contemplative electronics.","{""Spacious"",""Introspective"",""Melancholic""}"
6DndjiqAO3zId2T0Nr1G8c,Subtle Body,"Ethereal tones and primal rhythms blend to awaken the senses, inviting introspection and connection to the unseen.","{""Soft"",""Sensual"",""Dreamy""}"
4rdkKRqg3KSB8X4VsVyY55,Lush,"A lush mix of cinematic electronic and ambient sounds, offering a restorative, stimulating, and sensuous experience.","{""Cinematic"",""Electronic"",""Ambient""}"
4v2LmP9KjrpllDeUe9wIF4,Looking through,"A dreamy blend of ambient electronica and melodic downtempo—immersive, atmospheric, and gently hypnotic.","{""Dreamy"",""Immersive"",""Atmospheric""}"
1x5HQnDr4yQOkrn2za7JCS,Dreams of the Void,"A luminous journey through transcendent ambient and modular synth meditations—cosmic, serene, and deeply immersive.","{""Synth"",""Transcendent Ambient"",""Serene""}"
2ElVLPhYmu95fww2ychiGu,Being Nothing,"This selection leans into deep meditation ambient, healing soundscapes, and tranquil minimal atmospheres, music designed to slow the mind, create stillness, and support introspection.","{""Calming"",""Serene"",""Spiritual Ambient""}"
62qi7ZjpGevc48L4MrTsxD,Oceanic Feeling,"A gentle drift through dreamy downtempo, ambient jazz, and warm instrumental electronica, melodic, airy, and quietly uplifting.","{""Soft"",""Dreamy"",""Slow""}"
5PtMvr7zEAd69THvqqHPPd,Easy Motion,"This selection sits in a deep downtempo / atmospheric electronic space, blending trip-hop, dubby ambient house, and hypnotic groove-driven electronica.","{""Slow-Groove"",""Nocturnal"",""Dreamy""}"
1AR7u1llnDtSHmqXJmKrhH,Inhale,"This selection leans into deep, meditative ambient with mystical and minimal electronic textures, occasionally touching psychedelic and ritualistic atmospheres.","{""Slow"",""Immersive"",""Introspective""}"
7Ds3EEMpcew8bhZW2uZ4BJ,Hindsight,"This tracklist sits in a psychedelic, ritualistic space—mixing heavy psych rock, kraut grooves, cosmic instrumentals, and mystical atmospheres.","{""Psychedelic"",""Space Rock""}"
5j5kYOXLyMmA3gCWn5HuR9,Insight,"This selection blends ambient, dream-pop, cinematic electronica, and desert-tinged guitar, music that feels immersive, atmospheric, and emotionally reflective, with a slow, hypnotic flow.","{""Dreamy"",""Reflective""}"
1UkLKQ8h5FjFotCx3AZlNb,Into Stillness,"This selection leans toward introspective, cinematic ambient / experimental folk / minimal guitar atmospheres, music that feels spacious, contemplative, and slightly mystical.","{""Contemplative"",""Ambient""}"
7sJeMlcYvn5oyr8C2MvfeF,Melting,"A provocative, sun-bleached odyssey, where psych-cumbia, shamanic folktronica, and dusty spaghetti-western noir collide.","{""Groovy"",""Earthy""}"
6Ij87hxjo1eyKdcut3rIPG,On the beach,"A salt-crusted, provocative escape, fusing vintage yacht-rock, Afro-Libyan disco, and kitsch-cool exotica. It drifts from the languid, golden-hour grit of Neil Young to the sultry, carnal pulse of modern Poolside.
","{""Groovy"",""Relaxed""}"
1bycxNHcgFsAbxIalZ0mKg,Cosmic Satin,"A velvety, provocative fusion of retro-exotica, operatic ambient, and nocturnal soul. It drifts from sultry mid-century lounge to the visceral, carnal pulse of high-art electronica.","{""Provocative"",""Whismical""}"
FAZz9EpllYlw1f3gQEptM,Skymind,"This playlist is an interstellar odyssey—a sultry, psychedelic trip that blurs the line between retro-future lounge and deep-sea introspection. ","{""Psychedelic Rock"",""Cinematic Electronica""}"
1mB1J3QAgLDoJkKlCK2NEx,Soft Mornings,"This playlist is a velvety blend of dreamy jazz, ambient textures, and nostalgic soul, creating a moonlit sanctuary for deep connection.","{""Timeless"",""Mystical"",""Slow""}"
78HeV0LWo3G6BpeVvqUcDd,Samanke,"This playlist is a sun-drenched blend of global soul and cinematic chill, shifting from earthy tribal rhythms to lush, orchestral-electronic horizons.
","{""Lounge"",""Expansive"",""Organic""}"
4DK6R50ZEg0lfo24z9ra1Z,Slow burn,"This collection creates an intimate, sacred space where dusty desert folk meets the deep pulse of a shared heartbeat.","{""Soulful"",""Slow"",""Intimate""}"
5gKZuecFz2cJgI6CdqFsji,House of the Setting Sun,"This compilation is a delicious blend of organic psychedelia and sophisticated groove, weaving laid-back skate-rock aesthetics with deep, shamanic electronic textures.","{""Intimate"",""Deep"",""Psychedelia""}"
6y9hOpAjSOyGJc06yd8L7J,Zumurud,"This playlist is a sophisticated blend of Silk Road tradition and modern lounge, weaving together ancient Middle Eastern instruments with deep, rhythmic electronic pulses.","{""Middle Eastern"",""Mystical"",""Lounge""}"
4OdgWxd4Doat1KOtZoy5vs,New Light,"This selection creates a sophisticated, bittersweet journey through modern classical and melodic electronica, perfectly curated for deep focus or late-night introspection.","{""Neoclassical"",""Cinematic"",""Electronica""}"
5qch2T7WuLzdkXLnMoAjba,Sonic Prayer,"Sacred chants, Indian ragas, and shamanic trance merge in a traditional-modern mix designed to soothe the soul.","{""Zen"",""Meditative"",""Devotional""}"
2Rg4a2tmApiYPEA7Z5USmq,Inner Roads,"A journey through magical realism, where the extraordinary meets the everyday and belief shapes reality.","{""Downtempo"",""Ambient"",""Nocturnal""}"
1Qss4hex7cJLKqMEpWbzkw,Ambient Odyssey,"A soundscape of timeless and contemporary ambient and new-age music, designed to calm the mind and lift the spirit.","{""Ambient"",""Drone"",""Dreamscape""}"
qbfGNZ4cmI09cGmurHY0U,Erotic Nature,"Contemporary ambient, experimental electronic, and psychedelic rock merge in this compilation, forming a soundscape that stimulates the senses.","{""Uplifting"",""Eclectic"",""Seductive""}"
5HXI9bv7DUl3uV98Urd7xu,Tantric Flow,"A ritualistic blend of meditation, chants, and rare instruments from around the world, creating a sound that transcends genres.","{""Reflective"",""Middle Eastern"",""Cinematic""}"
3v6xbGlqm33vmUo7EL6Hin,Space Chill,"This psybient-chill compilation blends dream states, waking life, and ambient-trance sounds, perfect for relaxing, inner exploration, or simply being present.","{""Psybient"",""Psychedelic"",""Atmospheric""}"
5T7ZoPkD7ARhPfdLZbHvD0,Lucid Dreaming,"This journey is a contemplative, ethereal compilation that unfolds at a meditative pace, featuring hypnotic melodies and immersive sound textures.","{""Focus"",""Immersive"",""Trancy""}"
